i083-universite-de-strasbourg | Université de Strasbourg | (48.58392,7.74553) Strasbourg | 250px-Universit%C3%A9_de_Strasbourg.svg.png
i084-delft-university-of-technology | Delft University of Technology | (52.006672,4.35556) Delft | 250px-Delft_University_of_Technology_logo.svg.png
i085-universitat-ulm | Universität Ulm | (48.39841,9.99155) Ulm | 250px-UniUlm_logo.svg.png
i086-university-of-california-santa-barbara | University of California, Santa Barbara | (34.42083,-119.69819) Santa Barbara | 330px-University_of_California%2C_Santa_Barbara_logo.svg.png
i087-university-of-pennsylvania | University of Pennsylvania | (39.95238,-75.16362) Philadelphia | 250px-University_of_Pennsylvania_wordmark.svg.png
i088-australian-national-university | Australian National University | (-35.283459,149.128067) Canberra | 250px-Australian_National_University_coat_of_arms.svg.png
i089-cornell-university | Cornell University | (42.44063,-76.49661) Ithaca | 330px-Cornell_University_logo.svg.png
i090-virginia-tech | Virginia Tech | (37.22957,-80.41394) Blacksburg | 250px-Virginia_Tech_logo.svg.png
i091-mcgill-university | McGill University | (45.50884,-73.58781) Montreal | 250px-Mcgill_univ_ca_logo.png
i092-rutgers-the-state-university-of-new-jersey | Rutgers, The State University of New Jersey | (40.48622,-74.45182) New Brunswick | 250px-Rutgers_University_seal.svg.png
i093-university-of-science-and-technology-of-china | University of Science and Technology of China | (31.86389,117.28083) Hefei | 250px-Logo_of_University_of_Science_and_Technology_of_China.svg.png
i094-humboldt-universitat-zu-berlin | Humboldt-Universität zu Berlin | (52.524368,13.41053) Berlin | 250px-Huberlin-logo.svg.png
i095-heriot-watt-university | Heriot-Watt University | (55.952061,-3.19648) Edinburgh | 250px-Heriot-Watt_University_logo.svg.png
i096-karlsruhe-institute-of-technology | Karlsruhe Institute of Technology | (49.00937,8.40444) Karlsruhe | 250px-Logo_KIT.svg.png
i097-university-of-california-berkeley | University of California, Berkeley | (37.87159,-122.27275) Berkeley | 250px-University_of_California%2C_Berkeley_Logo_2024.svg.png
i098-the-university-of-melbourne | The University of Melbourne | (-37.814,144.96332) Melbourne | 250px-The_University_of_Melbourne_Coat_of_Arms.svg.png
i099-university-of-technology-sydney | University of Technology Sydney | (-33.86785,151.20732) Sydney | 250px-Logo_of_the_University_of_Technology_Sydney.svg.png
i100-university-of-rochester | University of Rochester | (43.15478,-77.61556) Rochester | 250px-University_of_Rochester_logo_%282025%29.svg.png
i101-max-planck-institute-of-quantum-optics | Max Planck Institute of Quantum Optics | (48.248959,11.65101) Garching | File:Max
i102-yale-university | Yale University | (41.30815,-72.92816) New Haven | 250px-Yale_University_logo.svg.png
i103-stanford-university | Stanford University | (37.42411,-122.16608) Stanford | 250px-Seal_of_Leland_Stanford_Junior_University.svg.png
i104-university-of-colorado-boulder | University of Colorado Boulder | (40.014992,-105.270554) Boulder | 330px-UC_Boulder_logo.svg.png
i105-chalmers-university-of-technology | Chalmers University of Technology | (57.70716,11.96679) Gothenburg | 250px-Formal_Seal_of_Chalmers_tekniska_h%C3%B6gskola%2C_G%C3%B6teborg%2C_V%C3%A4stra_G%C3%B6talands_l%C3%A4n%2C_Sverige.svg.png
i106-northwestern-university | Northwestern University | (42.04114,-87.69006) Evanston | 250px-Northwestern_University_seal.svg.png
i107-riken-center-for-quantum-computing | RIKEN Center for Quantum Computing | (35.90807,139.65657) Saitama | 120px-%E7%90%86%E5%8C%96%E5%AD%A6%E7%A0%94%E7%A9%B6%E6%89%80.svg.png
i108-rwth-aachen-university | RWTH Aachen University | (50.776642,6.08342) Aachen | 250px-RWTH_Logo_3.svg.png
i109-universite-de-sherbrooke | Université de Sherbrooke | (45.40008,-71.89908) Sherbrooke | 250px-Universit%C3%A9_de_Sherbrooke_%28logo%29.svg.png
i110-ecole-polytechnique-federale-de-lausanne | École Polytechnique Fédérale de Lausanne | (46.516,6.63282) Lausanne | 250px-Logo_EPFL_2019.svg.png
i111-national-university-of-singapore | National University of Singapore | (1.28967,103.85007) Singapore | 250px-NUS_coat_of_arms.svg.png
i112-institute-of-science-and-technology-austria | Institute of Science and Technology Austria | (48.30521,16.32522) Klosterneuburg | 250px-ISTA_Logo_4c_rgb.svg.png
i113-commissariat-a-l-energie-atomique-et-aux-energies-alternatives | Commissariat à l'Énergie Atomique et aux Énergies Alternatives | (48.85341,2.3488) Paris | 250px-LOGO_CEA_ORIGINAL_2022.svg.png
i114-institut-national-de-recherche-en-sciences-et-technologies-du-numerique | Institut national de recherche en sciences et technologies du numérique | (48.8205,2.1311) Le Chesnay-Rocquencourt | 250px-Inr_logo_rouge.svg.png
i115-ecole-nationale-superieure-des-mines-de-paris | École Nationale Supérieure des Mines de Paris | (48.85341,2.3488) Paris | 330px-Logo_Mines_Paris_-_PSL.png
i116-aalto-university | Aalto University | (60.1872,24.8282) Espoo | 250px-Aalto_University_logo_tri-lingual_version.png
i117-vtt-technical-research-centre | VTT Technical Research Centre of Finland | (60.2052,24.6522) Espoo | 250px-VTT_logo_reverse_orange.png
i118-university-of-bristol | University of Bristol | (51.4545,-2.5879) Bristol | 250px-University_of_Bristol_logo.svg.png
i119-university-of-twente | University of Twente | (52.2394,6.8501) Enschede | File:Logo
